Code,Name,Polling_Districts
2053,BAKWENA NATIONAL SCHOOL,MANKGWENYANE
2054,EDUCATION CENTRE,MANKGWENYANE
2055,KEALEBOGA PRIMARY SCHOOL,MANKGWENYANE
2056,KGODISO DAY-CARE CENTRE,MANKGWENYANE
2057,BOKAA PRIMARY SCHOOL,NTLOOLENGWAE
2058,SPIRITUAL HEALING CHURCH,NTLOOLENGWAE
2059,TENT AT PHUTHADIKOBO CLINIC  ,NTLOOLENGWAE
2060,NTLOOLENGWAE KGOTLA,NTLOOLENGWAE
2061,SDA CHURCH ,BOSWELAKOKO
2062,APOSTOLIC FAITH MISSION  ,BOSWELAKOKO
2063,CANON GORDON PRIMARY SCHOOL ,BOSWELAKOKO
2064,WILDLIFE OFFICES,BOSWELAKOKO
2065,GOO MODIBEDI KGOTLA    ,BOSWELAKOKO
2066,ST. PAUL ANGLICAN CHURCH,ST. PAUL
2067,COMMUNITY HALL,ST. PAUL
2068,TENT AT SENYEDIMANA KGOTLA,ST. PAUL
2069,MOTSWASELE JUNIOR SECONDARY SCHOOL,RALESUMA
2070,NAMPOL VTC  ,RALESUMA
2071,SUPING KGOTLA,RALESUMA
2072,TENT AT MAANEGE VDC HOUSES,RALESUMA
2073,TENT AT BODITSE VDC,RALESUMA
2074,TENT AT MOSINKI VDC,RALESUMA
2075,TENT AT THEBEPHATSWA BDF CAMP,RALESUMA
2076,HATSALATLADI PRIMARY SCHOOL,HATSALATLADI-MOGONONO
2077,TENT AT MOSEKELE VDC HOUSES,HATSALATLADI-MOGONONO
2078,TENT AT LEPARE BOREHOLE,HATSALATLADI-MOGONONO
2079,MOGONONO PRIMARY SCHOOL  ,HATSALATLADI-MOGONONO
2080,MAHETLWE PRIMARY SCHOOL,MAHETLWE
2081,TENT AT MOGATELWANE VDC HOUSES,MAHETLWE
2082,TENT AT SOKWANE VDC,MAHETLWE
2083,TENT AT MATEMATEMA VDC  ,MAHETLWE
2084,TENT AT MMAMAROBOLE VDC HOUSES,MAHETLWE
2085,KWENA SERETO JUNIOR SECONDARY SCHOOL,MAGOKOTSWANE
2086,TENT AT MASUGANKWE KGOTLA,MAGOKOTSWANE
2087,TENT AT MANTSHO LANDS,MAGOKOTSWANE
2088,LOUW PRIMARY SCHOOL       ,MAGOKOTSWANE
2089,MOTLABAKI MOBILE HEALTH STOP,SOJWE-LEPHEPE
2090,LEPHEPE PRIMARY SCHOOL,SOJWE-LEPHEPE
2091,SOJWE PRIMARY SCHOOL,SOJWE-LEPHEPE
2092,SOJWE TRIBAL OFFICES,SOJWE-LEPHEPE
2093,KOKONJE MOBILE HEALTH STOP,SOJWE-LEPHEPE
2094,SOJWE COMMUNITY HALL,SOJWE-LEPHEPE
2095,SHADISHADI PRIMARY SCHOOL,BOATLANAME-LOOLOGANE
2096,SHADISHADI KGOTLA,BOATLANAME-LOOLOGANE
2097,SHONONO MOBILE HEALTH STOP,BOATLANAME-LOOLOGANE
2098,BOATLANAME PRIMARY SCHOOL,BOATLANAME-LOOLOGANE
2099,BOATLANAME COMMUNITY HALL,BOATLANAME-LOOLOGANE
2100,LOOLOGANE PRIMARY SCHOOL,BOATLANAME-LOOLOGANE
2101,LOOLOGANE KGOTLA,BOATLANAME-LOOLOGANE
2102,TENT AT GATALATHUTLWA BOREHOLE,BOATLANAME-LOOLOGANE
2103,TENT AT MAHATLHE,BOATLANAME-LOOLOGANE
2104,TENT AT MURRAY CAMP,BOATLANAME-LOOLOGANE
2105,KWENENG PRIMARY SCHOOL,KWENENG-MEDIE
2106,MEDIE PRIMARY SCHOOL,KWENENG-MEDIE
2107,MOETLO MOBILE STOP,KWENENG-MEDIE
2108,RAMANKHUNG KGOTLA,LENTSWELETAU NORTH
2109,DIKGATLHONG PRIMARY SCHOOL,LENTSWELETAU NORTH
2110,MAKGASANE PRIMARY SCHOOL,LENTSWELETAU NORTH
2111,TENT AT LENATONG ,LENTSWELETAU NORTH
2112,STAND PIPE ADJACENT TO MEDIE ROAD ,LENTSWELETAU NORTH
2783,TENT AT SEKHUKHWANE VDC HOUSES,LENTSWELETAU NORTH
2113,KGOPE PRIMARY,LENTSWELETAU SOUTH
2114,TENT AT SOGOMOTLHABE DAM ,LENTSWELETAU SOUTH
2115,LENTSWELETAU PRIMARY SCHOOL  ,LENTSWELETAU SOUTH
2116,TENT AT DITSHOSO,LENTSWELETAU SOUTH
2117,LENTSWELETAU COUNCIL OFFICES,LENTSWELETAU SOUTH
2118,DITSHUKUDU PRIMARY SCHOOL,LENTSWELETAU SOUTH
2119,TENT AT PALAMAOKUE,LENTSWELETAU SOUTH
2120,TENT AT BOSEJA,LENTSWELETAU SOUTH
2121,TENT AT MANTSWANENG,LENTSWELETAU SOUTH
2122,NEW COMMUNITY HALL,KOPONG WEST
2123,MOLEFE PRIMARY SCHOOL,KOPONG WEST
2124,SASAKWE VDC HUTS,KOPONG WEST
2125,MOTLHWARE KGOTLA,KOPONG WEST
2126,TENT AT NO MATHATA GROUND,KOPONG WEST
2127,KOPONG JUNIOR SECONARY SCHOOL,KOPONG EAST
2128,OLD COMMUNITY HALL,KOPONG EAST
2129,LETSHOLO PRIMARY SCHOOL,KOPONG EAST
2130,TENT AT DIDIBANENG KGOTLA,KOPONG EAST
2131,MMATSETA PRIMARY SCHOOL,MMATSETA
2132,MMATSETA KGOTLA,MMATSETA
2133,TENT AT GALEKGATSHWANE KGOTLA ,MMATSETA
2134,TENT AT OPEN SPACE NEXT TO POLICE HOUSES,MMATSETA
2135,GAKUTO PRIMARY SCHOOL,GAKUTO
2136,TENT RAPALANE DAM,GAKUTO
2137,MMAKANKE VDC HUTS  ,GAKUTO
2138,TENT AT GASIKO,GAKUTO
2139,MOSHAWENG PRIMARY SCHOOL,MOSHAWENG
